Schwefel,10,910470378,-3323.21088,-3208.532081,-3283.807744,-3382.530675,-3389.886052,-3540.463423,-3260.443908,-3382.598516,-3536.804944,-3283.874087,-3422.010504,-3445.404018,-3224.577123,-3556.464798,-2964.297601,-3260.377002,-3181.42215,-3181.453336,-3382.486489,-3484.959543,-3161.702277,-3359.080737,-3142.014067,-3328.445354,-3497.296342,-3488.568094,-3438.032628,-3619.394067,-3228.219761,-3102.479891,,-3.3E+03,-3.3E+03,6.6E+02,1.5E+02,9.1E+02,-6.2E+03,-6.1E+03,1.5E+03,3.1E+02,3.7E+03,-8.9E+03,-8.9E+03,1.4E+03,3.2E+02,8.5E+03
1st De Jong,10,25359642,0.180760476,0.17430911,0.170474989,0.160612651,0.168852711,0.192322623,0.179808743,0.16830522,0.166248684,0.181675989,0.163958347,0.158852794,0.17812409,0.148702231,0.161786444,0.151265696,0.172613434,0.172925362,0.16275558,0.18358301,0.169995138,0.167883607,0.171130272,0.15681338,0.158497206,0.155744729,0.16535867,0.182978304,0.171429398,0.160323015,,1.7E-01,1.7E-01,4.4E-02,1.0E-02,2.5E+01,1.9E-01,1.9E-01,4.1E-02,1.0E-02,6.4E+01,2.2E-01,2.2E-01,4.3E-02,1.0E-02,1.3E+02
Rosenbrock,10,264821,1040082.098,998770.5695,530994.1669,1069199.011,1289398.022,1177591.099,1122581.875,1119632.067,763468.7691,1018831.267,466403.6122,949372.9955,946446.5907,1136763.27,1436207.652,1068043.581,1396073.474,1297578.724,736812.3164,960811.1949,830161.6792,749560.5855,1124780.937,979436.0977,1022419.788,955480.331,632040.7741,1269225.067,1456414.614,558892.3429,,1.0E+06,1.0E+06,9.9E+05,2.6E+05,2.6E-01,3.3E+06,3.3E+06,1.1E+06,3.1E+05,5.7E-01,6.0E+06,6.2E+06,3.1E+06,7.7E+05,1.3E+00
Rastrigin,10,1298781,7310.970597,4295.592918,6156.59357,7943.553722,9801.611981,6996.268682,7177.998054,5919.755302,4255.563885,8082.561364,10946.48358,10645.40645,9347.516103,8311.124391,5081.998974,8671.529521,9062.637341,8211.840558,8511.965005,9861.77724,8789.650226,6609.353664,9090.854496,9652.549138,7108.773358,10437.42936,8511.339162,10431.33081,9753.416454,7239.112217,,8.1E+03,8.4E+03,6.7E+03,1.8E+03,1.3E+00,1.3E+05,1.3E+05,5.8E+04,1.6E+04,1.9E+00,3.3E+05,3.3E+05,9.4E+04,2.6E+04,4.0E+00
Griewangk,10,918064,86.44457861,91.26317559,77.21115345,40.07118732,106.0035425,103.9393686,90.10017662,78.50075584,73.76060606,63.85685212,66.71013145,52.49745449,93.0324654,57.42245116,89.48676223,55.6931621,85.15583458,99.13480761,52.5424143,84.37195973,62.83441477,86.54511789,54.7269418,67.47435762,95.36237973,74.74440089,91.31360767,74.56661701,93.44331471,38.71334533,,7.6E+01,7.8E+01,6.7E+01,1.8E+01,9.2E-01,2.2E+02,2.2E+02,1.0E+02,2.3E+01,3.2E+00,3.9E+02,3.9E+02,1.4E+02,3.5E+01,5.4E+02
Sine Envelope Sine Wave,10,1080625,-8.979337812,-10.03197713,-9.14366696,-8.496540761,-9.133699795,-8.997607943,-8.749958607,-8.469030468,-9.812453868,-9.311054804,-9.124177549,-8.391180103,-8.345398248,-8.889356447,-9.119864969,-8.930624866,-9.590887092,-8.440479038,-8.488536928,-8.585907695,-8.456629736,-8.736641246,-8.750115319,-8.549922724,-8.435280475,-9.527958933,-9.373498139,-8.82842479,-8.832020413,-10.14123887,,-9.0E+00,-8.9E+00,1.8E+00,4.9E-01,1.1E+00,-1.7E+01,-1.7E+01,2.2E+00,5.0E-01,3.5E+00,-2.5E+01,-2.5E+01,2.9E+00,8.7E-01,7.4E+00
Stretched V Sine Wave,10,182376309,9.168535537,9.220427437,9.237535048,9.167798784,9.165527467,9.219875999,9.281020493,9.404957761,9.223150063,9.240432107,9.357921672,9.287597774,9.232622586,9.304498178,9.30449069,9.233141427,9.206960638,9.229577452,9.355023894,9.126381397,9.111664156,9.16185958,9.240741303,9.178332886,9.27739522,9.172262555,9.244812872,9.232116218,9.288296506,9.256141982,,9.2E+00,9.2E+00,2.9E-01,6.8E-02,1.8E+02,2.0E+01,2.0E+01,9.3E-01,2.4E-01,1.2E+03,3.1E+01,3.1E+01,1.8E+00,4.0E-01,3.6E+03
Ackey's One,10,35270710,36.51179219,72.40585264,69.43193379,59.71879519,69.48877077,57.808616,62.81324327,55.96879293,83.34522784,42.52032289,76.40200773,55.11812283,53.39120935,63.61483434,28.18167075,93.76820678,62.11353682,69.57924439,72.95842331,61.82735545,70.11381766,57.29538807,75.19206611,74.62103613,70.26198653,77.26248348,64.77237196,53.757466,54.55020965,65.07984091,,6.4E+01,6.4E+01,6.6E+01,1.3E+01,3.5E+01,1.8E+02,1.8E+02,7.3E+01,1.6E+01,1.7E+02,3.1E+02,3.2E+02,1.5E+02,3.0E+01,3.5E+02
Ackey's Two,10,18232910,98.1966922,112.0574394,-81.71554506,-280.2703236,-229.963844,65.03281663,39.44029505,-35.61434644,90.53749365,103.7808012,71.9610895,116.0043604,-1947.586474,-29.50104914,-243.7853838,-144.8035741,63.74197769,-54.62108917,18.48869683,-11.87602097,-97.09254122,7.626258369,121.388638,-180.9330041,97.68026849,106.1407083,-73.70442032,101.775453,-371.0177339,-38.95656299,,-8.7E+01,-2.1E+00,2.1E+03,3.8E+02,1.8E+01,1.2E+02,1.7E+02,1.3E+03,2.4E+02,8.6E+01,2.5E+02,3.2E+02,1.4E+03,2.7E+02,2.1E+02
Egg Holder,10,2251425161,-5454.563889,-5542.952918,-5560.304726,-5327.322137,-5939.454841,-5182.577512,-4842.284484,-5029.152222,-5303.779874,-5335.382025,-5428.744415,-5066.184722,-5132.927592,-5059.316101,-5301.480111,-5505.843957,-5036.313715,-5358.262647,-5137.766022,-5190.186744,-5143.832925,-5056.882,-5140.499387,-4872.077986,-5617.628793,-4895.582449,-4908.235623,-5772.281482,-5233.81049,-4912.672197,,-5.2E+03,-5.2E+03,1.1E+03,2.7E+02,2.3E+03,-9.9E+03,-9.9E+03,1.8E+03,4.8E+02,1.1E+04,-1.4E+04,-1.4E+04,2.2E+03,4.7E+02,2.7E+04
Rana,10,2509547060,-3475.589563,-3279.43221,-3632.24256,-3748.65842,-3664.437509,-3274.836721,-3391.320868,-3450.437939,-3519.402294,-3375.494166,-3371.461219,-3380.224584,-3719.823496,-3401.58714,-3281.653121,-3535.142042,-3208.547969,-3293.421644,-3432.513781,-3377.193473,-3587.631318,-3624.083942,-3419.10421,-3390.997834,-3284.856784,-3750.015422,-3354.523612,-3620.940626,-3230.232016,-3379.533031,,-3.4E+03,-3.4E+03,5.4E+02,1.6E+02,2.5E+03,-6.4E+03,-6.3E+03,1.1E+03,2.7E+02,1.2E+04,-9.2E+03,-9.1E+03,1.7E+03,4.5E+02,2.8E+04
Pathological,10,1605629,3.597180613,3.497080895,3.665739843,3.857851021,3.407782449,3.676111466,3.783663035,3.599023573,3.482639162,3.916287096,3.659979465,3.650102182,3.936650689,3.507462736,3.701053828,3.711318493,3.589901333,3.533518992,3.510862516,3.53293039,3.50742741,3.685345531,3.771914708,3.722944426,3.661416609,3.739294105,3.48798252,3.783223047,3.792885034,3.552651578,,3.7E+00,3.7E+00,5.3E-01,1.4E-01,1.6E+00,8.3E+00,8.3E+00,8.6E-01,2.0E-01,6.2E+00,1.3E+01,1.3E+01,1.0E+00,2.4E-01,1.4E+01
Michalewicz,10,4311741,-4.432189795,-4.334781651,-4.253712184,-4.221175821,-4.712816533,-4.321695227,-4.652381888,-4.738431962,-5.190550145,-4.347938482,-4.803105501,-3.553539306,-4.744158482,-5.35637457,-4.419772491,-4.055305609,-4.740598061,-4.660751835,-4.459837147,-3.987091885,-3.863251052,-4.404731515,-3.970789574,-4.41929701,-4.44444484,-4.196117577,-4.483849451,-4.645552232,-4.862296842,-4.352578083,,-4.5E+00,-4.4E+00,1.8E+00,3.7E-01,4.3E+00,-6.5E+00,-6.4E+00,1.7E+00,4.8E-01,1.1E+01,-8.6E+00,-8.6E+00,3.9E+00,7.8E-01,2.2E+01
Master's Cosine Wave,10,39916293,-8.819117852,-8.743889127,-8.826251226,-8.774362894,-8.847217764,-8.835591516,-8.821373592,-8.812217309,-8.845121104,-8.804723928,-8.823949143,-8.847639305,-8.871027619,-8.81620644,-8.79785548,-8.847565431,-8.781753865,-8.824003688,-8.81101344,-8.807162044,-8.836619147,-8.799364152,-8.865085891,-8.853379047,-8.829228762,-8.783789666,-8.836510952,-8.82217884,-8.809498051,-8.801134621,,-8.8E+00,-8.8E+00,1.3E-01,2.8E-02,4.0E+01,-1.8E+01,-1.8E+01,3.0E-01,8.1E-02,2.4E+02,-2.8E+01,-2.8E+01,4.4E-01,1.3E-01,6.9E+02
Shekel's Foxhole,10,3088181,-0.300678049,-0.310190429,-0.281753745,-0.310789627,-0.286672568,-0.317352446,-0.286812298,-0.293389162,-0.266694154,-0.286927495,-0.272125609,-0.315921393,-0.311831347,-0.291716446,-0.2877139,-0.327627668,-0.255147912,-0.285009644,-0.291762891,-0.334426809,-0.306899908,-0.286228511,-0.293361015,-0.31418733,-0.273465007,-0.273285849,-0.29821012,-0.293733782,-0.28602781,-0.281726441,,-2.9E-01,-2.9E-01,7.9E-02,1.8E-02,3.1E+00,,,,,,,,,,
